,product_id,hs_product_code,hs_product_name_short_en,level,parent_id
0,0,0,Textiles,section,
1,1,1,Agriculture,section,
2,2,2,Stone,section,
3,3,3,Minerals,section,
4,4,4,Metals,section,
5,5,5,Chemicals,section,
6,6,6,Vehicles,section,
7,7,7,Machinery,section,
8,8,8,Electronics,section,
9,9,9,Other,section,
10,10,services,Services,section,
11,100,01,Live animals,2digit,1.0
12,101,02,Meat,2digit,1.0
13,102,03,Fish,2digit,1.0
14,103,04,Diary products,2digit,1.0
15,104,05,Animal products,2digit,1.0
16,105,06,Plants,2digit,1.0
17,106,07,Vegetables,2digit,1.0
18,107,08,Fruits and nuts,2digit,1.0
19,108,09,"Coffee, tea and spices",2digit,1.0
20,109,10,Cereals,2digit,1.0
21,110,11,"Flours, starches and malts",2digit,1.0
22,111,12,Oil seeds and oleaginous fruits,2digit,1.0
23,112,13,Lac and other vegetable extracts,2digit,1.0
24,113,14,Other vegetable materials,2digit,1.0
25,114,15,"Animal or vegetable fats, oils or waxes",2digit,1.0
26,115,16,Preparations of meat or fish,2digit,1.0
27,116,17,Sugar and candy,2digit,1.0
28,117,18,Cocoa,2digit,1.0
29,118,19,"Preparations of cereals, flour, starch or milk",2digit,1.0
30,119,20,"Preparations of vegetables, fruit, or nuts",2digit,1.0
31,120,21,Miscellaneous edible preparations,2digit,1.0
32,121,22,Beverages,2digit,1.0
33,122,23,Food residues and animal feed,2digit,1.0
34,123,24,Tobacco,2digit,1.0
35,124,25,"Salt, sulphur, lime, cement, etc.",2digit,3.0
36,125,26,"Ores, slag and ash",2digit,3.0
37,126,27,"Mineral fuels, oils and waxes",2digit,3.0
38,127,28,Inorganic chemicals,2digit,5.0
39,128,29,Organic chemicals,2digit,5.0
40,129,30,Pharmaceutical products,2digit,5.0
41,130,31,Fertilisers,2digit,5.0
42,131,32,"Dyes, paints, inks, etc.",2digit,5.0
43,132,33,Essential oils,2digit,5.0
44,133,34,"Soaps, waxes, and paints",2digit,5.0
45,134,35,Albuminoidals; modified starches; glues; enzymes,2digit,5.0
46,135,36,Explosives,2digit,5.0
47,136,37,Photographic or cinematographic goods,2digit,5.0
48,137,38,Miscellaneous chemical products,2digit,5.0
49,138,39,Plastics,2digit,5.0
50,139,40,Rubber,2digit,5.0
51,140,41,Leather and skins,2digit,1.0
52,141,42,Articles of leather,2digit,1.0
53,142,43,Furskins,2digit,1.0
54,143,44,Wood,2digit,1.0
55,144,45,Cork,2digit,1.0
56,145,46,Manufactues of plaiting materials,2digit,1.0
57,146,47,Pulp of wood,2digit,1.0
58,147,48,Paper and paperboard,2digit,1.0
59,148,49,Products of the printing industry,2digit,1.0
60,149,50,Silk,2digit,0.0
61,150,51,Wool,2digit,0.0
62,151,52,Cotton,2digit,0.0
63,152,53,Other vegetable textile fibres,2digit,0.0
64,153,54,Man-made filaments,2digit,0.0
65,154,55,Man-made staple fibres,2digit,0.0
66,155,56,"Wadding, felt and nonwovens",2digit,0.0
67,156,57,Carpets,2digit,0.0
68,157,58,Special woven fabrics,2digit,0.0
69,158,59,"Impregnated, coated or laminated textile fabrics",2digit,0.0
70,159,60,Knitted fabrics,2digit,0.0
71,160,61,"Apparel, knit",2digit,0.0
72,161,62,"Apparel, not knit",2digit,0.0
73,162,63,Other made up textile articles,2digit,0.0
74,163,64,Footwear,2digit,0.0
75,164,65,Headgear,2digit,0.0
76,165,66,Umbrellas and walking-sticks,2digit,0.0
77,166,67,Feathers and down,2digit,0.0
78,167,68,"Articles of stone, plaster, cement, etc.",2digit,2.0
79,168,69,Ceramic products,2digit,2.0
80,169,70,Glass and glassware,2digit,2.0
81,170,71,Precious metals and stones,2digit,2.0
82,171,72,Iron and steel,2digit,4.0
83,172,73,Articles of iron or steel,2digit,4.0
84,173,74,Copper,2digit,4.0
85,174,75,Nickel,2digit,4.0
86,175,76,Aluminium,2digit,4.0
87,176,78,Lead,2digit,4.0
88,177,79,Zinc,2digit,4.0
89,178,80,Tin,2digit,4.0
90,179,81,Other base metals,2digit,4.0
91,180,82,Metal tools and tableware,2digit,4.0
92,181,83,Miscellaneous articles of base metal,2digit,4.0
93,182,84,Industrial Machinery,2digit,7.0
94,183,85,Electrical machinery and equipment,2digit,8.0
95,184,86,Trains,2digit,6.0
96,185,87,Vehicles,2digit,6.0
97,186,88,Aircraft,2digit,6.0
98,187,89,Ships,2digit,6.0
99,188,90,"Apparatuses (optical, medical, etc.)",2digit,7.0
100,189,91,Clocks,2digit,7.0
101,190,92,Musical instruments,2digit,7.0
102,191,93,Arms and ammunition,2digit,7.0
103,192,94,Furniture,2digit,0.0
104,193,95,Toys,2digit,7.0
105,194,96,Miscellaneous manufactured articles,2digit,7.0
106,195,97,Art,2digit,0.0
107,196,99,Other,2digit,9.0
108,400,unspecified,Unspecified,2digit,10.0
109,401,travel,Travel and tourism,2digit,10.0
110,402,transport,Transport,2digit,10.0
111,403,ict,ICT,2digit,10.0
112,404,financial,Insurance and finance,2digit,10.0
113,650,0101,Horses,4digit,100.0
114,651,0102,Bovine,4digit,100.0
115,652,0103,Swine,4digit,100.0
116,653,0104,Sheep,4digit,100.0
117,654,0105,Fowl,4digit,100.0
118,655,0106,Other live animals,4digit,100.0
119,656,0201,Beef,4digit,101.0
120,657,0202,Beef (frozen),4digit,101.0
121,658,0203,Pork,4digit,101.0
122,659,0204,Lamb,4digit,101.0
123,660,0205,Horse meat,4digit,101.0
124,661,0206,Edible offal,4digit,101.0
125,662,0207,Poultry,4digit,101.0
126,663,0208,Other meat,4digit,101.0
127,664,0209,Pig and poultry fat,4digit,101.0
128,665,0210,Preserved meat,4digit,101.0
129,666,0301,Live Fish,4digit,102.0
130,667,0302,"Fish, excluding fillets",4digit,102.0
131,668,0303,"Frozen fish, excluding fillets",4digit,102.0
132,669,0304,Fish fillets,4digit,102.0
133,670,0305,Preserved fish,4digit,102.0
134,671,0306,Crustaceans,4digit,102.0
135,672,0307,Molluscs,4digit,102.0
136,673,0401,Milk,4digit,103.0
137,674,0402,"Milk, concentrated",4digit,103.0
138,675,0403,Fermented milk products,4digit,103.0
139,676,0404,Whey,4digit,103.0
140,677,0405,Butter,4digit,103.0
141,678,0406,Cheese,4digit,103.0
142,679,0407,"Eggs, in shell",4digit,103.0
143,680,0408,Egg yolks,4digit,103.0
144,681,0409,Honey,4digit,103.0
145,682,0410,"Edible animal products, n.e.c.",4digit,103.0
146,683,0501,"Human hair, unworked",4digit,104.0
147,684,0502,Brushmaking hair,4digit,104.0
148,685,0503,Horsehair,4digit,104.0
149,686,0504,"Animal guts, except fish",4digit,104.0
150,687,0505,Feathers and down,4digit,104.0
151,688,0506,"Bones, simply prepared",4digit,104.0
152,689,0507,Whalebone & horns,4digit,104.0
153,690,0508,Coral and shells,4digit,104.0
154,691,0509,Sponges of animal origin,4digit,104.0
155,692,0510,Animal products used in pharmaceuticals,4digit,104.0
156,693,0511,Animal products n.e.c.,4digit,104.0
157,694,0601,Flower bulbs,4digit,105.0
158,695,0602,Other live plants,4digit,105.0
159,696,0603,Cut flowers,4digit,105.0
160,697,0604,Other parts of plants,4digit,105.0
161,698,0701,Potatoes,4digit,106.0
162,699,0702,Tomatoes,4digit,106.0
163,700,0703,"Onions, shallots, garlic",4digit,106.0
164,701,0704,"Cabbages, cauliflowers, broccoli",4digit,106.0
165,702,0705,Lettuce,4digit,106.0
166,703,0706,Carrots & turnips,4digit,106.0
167,704,0707,Cucumbers,4digit,106.0
168,705,0708,Legumes,4digit,106.0
169,706,0709,Other vegetables,4digit,106.0
170,707,0710,Frozen vegetables,4digit,106.0
171,708,0711,"Vegetables, provisionally preserved",4digit,106.0
172,709,0712,"Vegetables, dried",4digit,106.0
173,710,0713,"Legumes, dried",4digit,106.0
174,711,0714,Tubers,4digit,106.0
175,712,0801,Cashew nuts & coconuts,4digit,107.0
176,713,0802,Other nuts,4digit,107.0
177,714,0803,Bananas and plantains,4digit,107.0
178,715,0804,"Avocados, pineapples, mangos, etc.",4digit,107.0
179,716,0805,Citrus fruit,4digit,107.0
180,717,0806,Grapes,4digit,107.0
181,718,0807,Melons and papayas,4digit,107.0
182,719,0808,Apples & pears,4digit,107.0
183,720,0809,Peaches & cherries,4digit,107.0
184,721,0810,Other fresh fruit,4digit,107.0
185,722,0811,"Fruits and nuts, frozen",4digit,107.0
186,723,0812,"Fruits and nuts, provisionally preserved",4digit,107.0
187,724,0813,"Fruits, dried",4digit,107.0
188,725,0814,Peel of citrus fruit or melons,4digit,107.0
189,726,0901,Coffee,4digit,108.0
190,727,0902,Tea,4digit,108.0
191,728,0903,Mate,4digit,108.0
192,729,0904,Pepper,4digit,108.0
193,730,0905,Vanilla,4digit,108.0
194,731,0906,Cinnamon,4digit,108.0
195,732,0907,Cloves,4digit,108.0
196,733,0908,Nutmeg,4digit,108.0
