,product_id,sitc_product_code,sitc_product_name_short_en,level,parent_id
0,0,0,Food,section,
1,1,1,Beverages,section,
2,2,2,Crude materials,section,
3,3,3,Fuels,section,
4,4,4,Vegetable oils,section,
5,5,5,Chemicals,section,
6,6,6,Material manufacturers,section,
7,7,7,Machinery and vehicles,section,
8,8,8,Other manufacturers,section,
9,9,9,Unspecified,section,
10,10,services,Services,section,
11,100,00,Live animals chiefly for food,2digit,0.0
12,101,01,Meat and preparations,2digit,0.0
13,102,02,Dairy products and birds' eggs,2digit,0.0
14,103,03,"Fish, crustacean and molluscs, and preparations thereof",2digit,0.0
15,104,04,Cereals and cereal preparations,2digit,0.0
16,105,05,Vegetables and fruit,2digit,0.0
17,106,06,"Sugar, sugar preparations and honey",2digit,0.0
18,107,07,"Coffee, tea, cocoa, spices, and manufactures thereof",2digit,0.0
19,108,08,Feeding stuff for animals (not including unmilled cereals),2digit,0.0
20,109,09,Miscellaneous edible products and preparations,2digit,0.0
21,110,11,Beverages,2digit,1.0
22,111,12,Tobacco and tobacco manufactures,2digit,1.0
23,112,21,"Hides, skins and furskins, raw",2digit,2.0
24,113,22,Oil seeds and oleaginous fruit,2digit,2.0
25,114,23,Crude rubber (including synthetic and reclaimed),2digit,2.0
26,115,24,Cork and wood,2digit,2.0
27,116,25,Pulp and waste paper,2digit,2.0
28,117,26,Textile fibres (not wool tops) and their wastes (not in yarn),2digit,2.0
29,118,27,Crude fertilizer and crude minerals,2digit,2.0
30,119,28,Metalliferous ores and metal scrap,2digit,2.0
31,120,29,"Crude animal and vegetable materials, nes",2digit,2.0
32,121,32,"Coal, coke and briquettes",2digit,3.0
33,122,33,"Petroleum, petroleum products and related materials",2digit,3.0
34,123,34,"Gas, natural and manufactured",2digit,3.0
35,124,35,Electric current,2digit,3.0
36,125,41,Animal oils and fats,2digit,4.0
37,126,42,Fixed vegetable oils and fats,2digit,4.0
38,127,43,"Animal and vegetable oils and fats, processed, and waxes",2digit,4.0
39,128,51,Organic chemicals,2digit,5.0
40,129,52,Inorganic chemicals,2digit,5.0
41,130,53,"Dyeing, tanning and colouring materials",2digit,5.0
42,131,54,Medicinal and pharmaceutical products,2digit,5.0
43,132,55,Oils and perfume materials; toilet and cleansing preparations,2digit,5.0
44,133,56,"Fertilizers, manufactured",2digit,5.0
45,134,57,Explosives and pyrotechnic products,2digit,5.0
46,135,58,"Artificial resins and plastic materials, and cellulose esters etc",2digit,5.0
47,136,59,"Chemical materials and products, nes",2digit,5.0
48,137,61,"Leather, leather manufactures, nes, and dressed furskins",2digit,6.0
49,138,62,"Rubber manufactures, nes",2digit,6.0
